2017-08-02 17:51:52 [info] Program | === Eyeflow started ===
2017-08-02 17:51:52 [info] BaseTimerRunner | BaseTimerRunner started
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: explorer
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: explorer
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: Eyeflow
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: devenv
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: notepad++
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: iexplore
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: powershell
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: chrome
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: wmplayer
2017-08-02 17:51:53 [info] BaseTimerRunner | Hiding window: explorer
2017-08-02 17:51:54 [info] BaseTimerRunner | Showing window: C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:51:56 [info] BaseTimerRunner | Showing window: Windows Media Player
2017-08-02 17:51:56 [info] BaseTimerRunner | Showing window: - Microsoft Edge Development - Internet Explorer
2017-08-02 17:51:59 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 17:51:59 [debug] FadeOutAnimation | starting animation for window owned by: Eyeflow
2017-08-02 17:51:59 [info] BaseTimerRunner | Showing window: C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:51:59 [debug] FadeOutAnimation | stopping animation for window owned by: Eyeflow
2017-08-02 17:51:59 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: Eyeflow
2017-08-02 17:52:01 [info] BaseTimerRunner | Showing window: eyetrack
2017-08-02 17:52:02 [info] AnimatingTimerRunner | hiding window owned by process wmplayer with animation
2017-08-02 17:52:02 [debug] FadeOutAnimation | starting animation for window owned by: wmplayer
2017-08-02 17:52:02 [info] BaseTimerRunner | Showing window: Select Windows PowerShell
2017-08-02 17:52:02 [debug] FadeOutAnimation | stopping animation for window owned by: wmplayer
2017-08-02 17:52:02 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: wmplayer
2017-08-02 17:52:02 [debug] FadeOutAnimation | stopping animation for window owned by: wmplayer
2017-08-02 17:52:02 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: wmplayer
2017-08-02 17:52:05 [info] AnimatingTimerRunner | hiding window owned by process iexplore with animation
2017-08-02 17:52:05 [debug] FadeOutAnimation | starting animation for window owned by: iexplore
2017-08-02 17:52:06 [debug] FadeOutAnimation | stopping animation for window owned by: iexplore
2017-08-02 17:52:06 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: iexplore
2017-08-02 17:52:06 [debug] FadeOutAnimation | stopping animation for window owned by: iexplore
2017-08-02 17:52:06 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: iexplore
2017-08-02 17:52:06 [info] AnimatingTimerRunner | hiding window owned by process notepad++ with animation
2017-08-02 17:52:06 [debug] FadeOutAnimation | starting animation for window owned by: notepad++
2017-08-02 17:52:06 [debug] FadeOutAnimation | stopping animation for window owned by: notepad++
2017-08-02 17:52:06 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: notepad++
2017-08-02 17:52:06 [debug] FadeOutAnimation | stopping animation for window owned by: notepad++
2017-08-02 17:52:07 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: notepad++
2017-08-02 17:52:08 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 17:52:08 [debug] FadeOutAnimation | starting animation for window owned by: explorer
2017-08-02 17:52:08 [debug] FadeOutAnimation | stopping animation for window owned by: explorer
2017-08-02 17:52:08 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: explorer
2017-08-02 17:52:09 [info] BaseTimerRunner | Showing window: eyetrack
2017-08-02 17:52:10 [info] AnimatingTimerRunner | hiding window owned by process powershell with animation
2017-08-02 17:52:10 [debug] FadeOutAnimation | starting animation for window owned by: powershell
2017-08-02 17:52:10 [debug] FadeOutAnimation | stopping animation for window owned by: powershell
2017-08-02 17:52:10 [debug] AnimatingTimerRunner | stop callback invoked for window owned by: powershell
